unicode,board_maker,binding_maker,boots_maker
1,011Artistic,,
3,5150,,
4,Academy,,
5,ACC,h,n
6,AIRWALK,,
7,ALC,i,o
8,ALLIAN,j,p
9,Alloy,,
10,AMICSS,k,q
11,AMPLID,,
12,APEX,,
14,APO,,
15,ARBN,,
17,ARBOR,l,s
19,atirom-avs,,
20,ATOMIC,,
22,Bataleon,m,t
24,BC STREAM,,
25,BLACK PEARL,,
26,Boheem,,
27,BOUND,,
28,BTM,,
29,BURTON,,
30,Buzrun Snowboards,,
31,BXB,,
32,CALMANO,,
33,CAPITA,,
34,CARDIFF SNOWcraft,,
35,CASSAVES,,
36,COSMIC SURF,,
37,CROOJA,,
38,CSB,,
39,D-Day,,
40,DC,,
41,DEATH LABEL,,
42,DEGENERATI,,
43,DEUS EX MACHINA,,
44,DEVGRU,,
45,DINOSAURS WILL DIE,,
46,Donek,,
47,DRAKE,,
48,DUPRAZ,,
49,DWD,,
50,elan,,
52,ENDEVOR,,
53,ESTIVO,,
54,EXPARNA,,
55,F2,,
56,FANATIC,,
57,FIELD EARTH,,
59,FLOW,,
60,FLUX,,
61,FNTC,,
62,FOSSIL,,
63,Four Square Design,,
64,FTWO,,
65,G-Girls,,
66,GBP,,
67,GENERICS,,
68,GENTEMSTICK,,
69,GILAFFE,,
70,GNU,,
71,GOOD BOARDS,,
72,GRAY SNOWBOARDS,,
73,GREEN.LAB,,
74,GT,,
75,HEAD,,
76,HIENRYU,,
77,high society,,
78,High tide Mfg,,
79,HOLIDAY,,
80,Jasey-Jay Snowboard,,
81,Joint snow boards,,
82,JONES,,
83,JOYRIDE,,
84,K2,,
85,Kemper,,
86,KESSLER,,
87,KISSMARK,,
88,KM4K,,
89,KONAYUKI,,
90,KORUA SHAPES,,
91,KRAFT,,
92,Lago,,
93,LIB TECH,,
94,Loaded ,,
95,LOBSTER,,
96,Marhar,,
97,MAVERICK FIGURES,,
98,monument,,
99,MORROW,,
100,MOSS,,
101,MOSS SNOWSTICK,,
102,NEVER SUMMER,,
103,NICHE,,
104,NICO,,
105,NIDECKER,,
106,NIGHTMARE,,
107,NIKITA,,
108,NITRO,,
109,Noah,,
110,NOBADAY,,
111,NOBILE,,
112,NOVEMBER,,
113,OES,,
114,OFF SHORE SNOW SHAPES,,
116,OGASAKA,,
117,OJK,,
118,OUTFLOW,,
119,Oxess,,
120,OXESS,,
121,OZ ,,
123,PHANTOM,,
124,PLUTONIUM,,
125,PRANA PUNKS,,
126,PUBLIC,,
127,RABANSER,,
128,RAYBACK SNOW SURFING,,
129,READYMADE,,
130,REGALIA,,
131,RICE28,,
132,RIDE,,
133,ROME SDS,,
134,ROSSIGNOL,,
135,ROXY,,
137,SABRINA,,
138,SALOMON,,
139,SANTA CRUZ,,
140,SAVANDER,,
141,SCOOTER,,
142,SECCA,,
143,SecretGarden,,
144,SESSIONS,,
145,SG,,
146,SGINAL,,
148,SIMS,,
149,SIN.SNOWBOARD,,
150,SLASH,,
151,SMOKIN,,
152,Snofisk ,,
153,Soul ,,
154,SPOON,,
155,SPREAD,,
156,SRASON,,
157,StepChild,,
158,STRIDER,,
159,SURGE,,
160,SWIVEL,,
161,TECHNINE,,
162,TELOS,,
163,TENTACLE,,
164,THE DAY HAKUBA,,
165,thrive snowboards,,
166,TJ BRAND,,
167,TORQREX,,
168,TWELVE,,
169,UG.,,
170,UMLAUT,,
171,UNIT MFG.,,
172,United Shapes ,,
173,Unity,,
174,V7V9,,
175,VECTOR GLIDE,,
177,Venture ,,
178,VOLKL snowboards,,
179,VOLTAGE design,,
180,WAVEMOON,,
181,WEST,,
182,WHITESPACE,,
183,Winter Stick,,
184,WIRED SNOWBOARDS,,
185,World Ind.,,
186,WR PROJECT,,
187,WRX,,
188,YES,,
189,YONEX,,
190,zion,,
191,ZUMA,,
192,眞空雪板等,,
193,雪ミク,,
194,木島板工房,,
195,HT.C,,
196,renkaine,,